No	Time	Source	Destination	Protocol	Length	info
1	2023-12-30 19:32:57	10.180.51.117	120.92.217.73	TCP	191	Ether / IP / TCP 10.180.51.117:2888 > 120.92.217.73:7826 PA / Raw
2	2023-12-30 19:32:57	10.180.51.117	36.150.181.46	TCP	2933	Ether / IP / TCP 10.180.51.117:3718 > 36.150.181.46:https PA / Raw
3	2023-12-30 19:32:57	120.92.217.73	10.180.51.117	TCP	185	Ether / IP / TCP 120.92.217.73:7826 > 10.180.51.117:2888 PA / Raw
4	2023-12-30 19:32:57	36.150.181.46	10.180.51.117	TCP	60	Ether / IP / TCP 36.150.181.46:https > 10.180.51.117:3718 A / Padding
5	2023-12-30 19:32:57	10.180.51.117	120.92.217.73	TCP	54	Ether / IP / TCP 10.180.51.117:2888 > 120.92.217.73:7826 A
6	2023-12-30 19:32:57	36.150.181.46	10.180.51.117	TCP	616	Ether / IP / TCP 36.150.181.46:https > 10.180.51.117:3718 PA / Raw
7	2023-12-30 19:32:57	10.180.51.117	36.150.181.46	TCP	89	Ether / IP / TCP 10.180.51.117:3718 > 36.150.181.46:https PA / Raw
8	2023-12-30 19:32:57	101.91.134.222	10.180.51.117	TCP	86	Ether / IP / TCP 101.91.134.222:https > 10.180.51.117:2449 PA / Raw
9	2023-12-30 19:32:57	10.180.51.117	101.91.134.222	TCP	90	Ether / IP / TCP 10.180.51.117:2449 > 101.91.134.222:https PA / Raw
10	2023-12-30 19:32:57	101.91.134.222	10.180.51.117	TCP	60	Ether / IP / TCP 101.91.134.222:https > 10.180.51.117:2449 A / Padding
11	2023-12-30 19:32:57	36.150.181.46	10.180.51.117	TCP	60	Ether / IP / TCP 36.150.181.46:https > 10.180.51.117:3718 A / Padding
12	2023-12-30 19:32:57	54:c6:ff:7b:58:02	f8:5e:a0:1c:11:78	ICMPv6 Neighbor Discovery Option - Prefix Information	118	Ether / IPv6 / ICMPv6ND_RA / ICMPv6NDOptSrcLLAddr / ICMPv6NDOptMTU / ICMPv6 Neighbor Discovery Option - Prefix Information 2403:d400:1000:12::/64 On-link 1 Autonomous Address 1 Router Address 0
13	2023-12-30 19:32:58	49.7.240.75	10.180.51.117	TCP	86	Ether / IP / TCP 49.7.240.75:https > 10.180.51.117:2448 PA / Raw
14	2023-12-30 19:32:58	10.180.51.117	49.7.240.75	TCP	90	Ether / IP / TCP 10.180.51.117:2448 > 49.7.240.75:https PA / Raw
15	2023-12-30 19:32:58	49.7.240.75	10.180.51.117	TCP	60	Ether / IP / TCP 49.7.240.75:https > 10.180.51.117:2448 A / Padding
16	2023-12-30 19:32:59	5c:c0:a0:3d:95:f0	ff:ff:ff:ff:ff:ff	Ethernet	60	5c:c0:a0:3d:95:f0 > ff:ff:ff:ff:ff:ff (0x9998) / Raw
17	2023-12-30 19:33:00	54:c6:ff:7b:58:02	f8:5e:a0:1c:11:78	ICMPv6 Neighbor Discovery Option - Prefix Information	118	Ether / IPv6 / ICMPv6ND_RA / ICMPv6NDOptSrcLLAddr / ICMPv6NDOptMTU / ICMPv6 Neighbor Discovery Option - Prefix Information 2403:d400:1000:12::/64 On-link 1 Autonomous Address 1 Router Address 0
18	2023-12-30 19:33:01	5c:c0:a0:3d:95:f0	ff:ff:ff:ff:ff:ff	Ethernet	60	5c:c0:a0:3d:95:f0 > ff:ff:ff:ff:ff:ff (0x9998) / Raw
19	2023-12-30 19:33:01	10.180.51.117	18.182.33.162	TCP	55	Ether / IP / TCP 10.180.51.117:3448 > 18.182.33.162:21584 A / Raw
20	2023-12-30 19:33:01	18.182.33.162	10.180.51.117	TCP	66	Ether / IP / TCP 18.182.33.162:21584 > 10.180.51.117:3448 A
21	2023-12-30 19:33:01	5c:c0:a0:3d:95:f0	ff:ff:ff:ff:ff:ff	Ethernet	60	5c:c0:a0:3d:95:f0 > ff:ff:ff:ff:ff:ff (0x9998) / Raw
